"code","deaths_increase","pollution","density","GDP","doctors","population_aged_60","cases","NACE_B_E","day"
"DE5",5.64856230031949,12.2333872557469,1744.5,144,557.4,27.3331552168079,200.46917243386,15.0978564771668,78
"DE6",5.73541963015647,12.7,2597.5,195,640.27,23.5053346780327,202.40324,11.4706492428957,74
"DE7",8.16833375105379,11.7804528440608,298.4,137,426.53,27.3006068625081,220.655588947154,18.8719415316174,78
"DE8",4.91376659017246,11.4700293169195,71.3,84,439.99,33.6954913073381,76.3926975896764,12.7607203005571,79
"DE9",4.94851571183725,11.424831251176,168.7,112,384.86,28.9335053707913,137.432307334459,21.0805754304351,77
"DEA",5.85897911635349,12.0762921056897,530.1,116,451.29,27.9682241612782,221.440413055973,21.0482720537481,73
"DEB",5.91748935064109,10.8829063713631,207.4,103,402.14,29.2282206002438,179.154220560744,22.5983173547251,76
"DEC",4.835539247805,10.5798138967402,385.5,107,485.99,32.0787486307956,204.673891031455,20.8964646464646,76
"DED",16.0364187330346,12.6508082129795,224.2,92,413.28,33.5895319490242,340.272562808728,20.8140610545791,78
"DEE",6.17196302069667,11.9107883190267,108.7,84,409.12,35.0115865721516,143.0028134391,19.1351351351351,80
"DEF",3.04961573399853,10.9383257932369,188.2,98,431.14,29.861803935776,86.3290631139793,15.598981628019,79
"DEG",5.82176174713038,10.6976840576648,132.4,87,418.14,34.2394081123926,204.291035963149,24.0631163708087,80
"DK01",3.40353393753667,9.13854517307696,756,167,489.91,22.2419222295714,444.539426017601,8.60169936011749,70
"DK02",4.87988196976867,8.7,118.3,89,367.16,29.4812619199173,267.221108591476,10.4203821656051,71
"DK03",3.67755466495006,8.9405881744034,102,116,399.25,27.9791187183439,172.470875066254,15.7620041753653,71
"DK04",3.31196108777361,8.00128395334341,103.7,120,400.41,25.2233213203251,228.877969893368,15.3153153153153,70
"DK05",0.991341448111438,7.1,76.4,109,356.09,28.1633939952808,181.01964,16.2513542795233,77
"EE00",3.73750121347443,5.44403371755844,30.5,84,348.19,26.4883639734653,207.114349171016,19.9512640877246,72
"EL30",5.33835547252934,40.3182538023124,987.5,91,813.51,27.2602029312892,99.331329,11.6574848670339,84
"EL41",3.11259661583456,26.106705940108,59.3,44,320.01,25.9101761968665,100.1673,6.06896551724138,210
"EL42",6.19312660128986,21.8496195139827,66.1,72,370.19,24.5226064135915,31.423376,4.17376490630324,222
