"","deaths_increase"
"FRJ1",8.50056631079337
"FRJ2",6.18913117799085
"FRK1",10.4401466562085
"FRK2",20.4487398766012
"FRL0",10.9184547826837
"FRM0",8.78843991119043
"ITC1",25.2820526718891
"ITC2",28.1430713137657
"ITC3",19.4084679174549
"ITC4",38.6672917797294
"ITH1",24.8473208313775
"ITH2",32.1914084369773
"ITH3",19.3314741415233
"ITH4",15.5922529462662
"ITH5",19.8340852475124
"ITI1",11.2898793242523
"ITI2",8.24770308577676
"ITI3",15.370135642596
"ITI4",7.64294834031343
"ITF1",8.55877197595884
"ITF2",8.77425286627453
"ITF3",9.65175758941583
"ITF4",14.3695901889763
"ITF5",7.52448578967329
"ITF6",6.23537879424187
"ITG1",8.04052372517443
"ITG2",14.5374514915682
"CY00",6.8477513497901
"LV00",3.19582630180297
"LT01",12.2810518237134
"LT02",11.5504655685253
"LU00",11.081624866497
"HU11",8.59841329036446
"HU12",11.7893695913857
"HU21",11.4541007861059
"HU22",13.8877377330919
"HU23",8.00651769934408
"HU31",10.5768117419202
"HU32",12.018741041406
"HU33",10.0898206332234
"MT00",16.6462096735915
"NL11",3.78243954090614
"NL12",4.31124139334729
"NL13",8.92395049422172
"NL21",13.7697269335403
"NL22",13.8430254838507
"NL23",16.5955066651555
"NL31",12.6640089904512
"NL32",11.8097684372463
"NL33",14.9733357402605
"NL34",6.56122284235523
"NL41",18.5485031966492
"NL42",17.3808313312487
"AT11",8.20527337617483
"AT12",9.59670312507177
"AT13",11.5519009879568
"AT21",14.9307577217787
"AT22",17.0145287426288
"AT31",13.2291019744565
"AT32",15.7282218158928
"AT33",15.114924191642
"AT34",14.5648927017723
"PL21",23.250569257396
"PL22",19.84215703352
"PL41",20.9765374602766
"PL42",19.5995329210053
"PL43",22.0648009081756
"PL51",19.5605196591105
"PL52",22.638129670734
"PL61",20.4801162944138
"PL62",17.3557533201123
"PL63",19.6358352705658
"PL71",18.3703924119686
"PL72",22.3870773613391
"PL81",20.1763387081414
"PL82",25.8719344426074
"PL84",18.4997834192102
"PL91",20.2333095283438
"PL92",21.375686115998
"PT11",17.6713557750195
"PT15",4.90552138552627
"PT16",9.44827631100977
"PT17",14.3559491238854
"PT18",10.3437553405813
"PT20",7.27749758996652
"PT30",4.69739044455086
"RO11",17.8253145615106
"RO12",18.8405081448164
"RO21",14.3769200248208
"RO22",12.4129982212375
"RO31",17.008773003779
"RO32",18.1066602128638
"RO41",12.0608396962524
"RO42",16.26409836136
"SK01",8.38417401200353
"SK02",13.6134035047044
"SK03",11.1548313579164
"SK04",16.167078024169
"FI19",2.51041165682284
"FI1B",9.50601106001308
"FI1C",2.71600198862649
"FI1D",3.34590988604333
"FI20",10.0807968600725
"SE11",18.5851754860354
"SE12",8.41477110277531
"SE21",10.5871601895422
"SE22",7.32256505547899
"SE23",6.80614448364669
"SE31",7.28177763389801
"SE32",9.97675480392271
"SE33",4.09981103735308
"IS00",3.45931354926641
"LI00",19.3575079757185
"NO01",2.60231741213326
"NO02",-2.75222490513746
"NO03",2.28166238424121
